Address,Transactions,Year,Month,List Price,Sold Price,Sold/List Ratio,Property Type,SqFt,Beds,Baths
"#506 225 11 Avenue Southeast, Calgary ",1,2024,September,"$325,000","$313,900",97%,High Rise Apartment,567,1,1
"#1 1931 28 Street Southwest, Calgary ",1,2024,November,"$579,900","$555,000",96%,Not Applicable,"1,733",3,2
"#205 315 50 Avenue Southwest, Calgary ",1,2024,September,"$229,800","$222,800",97%,High Rise Apartment,494,1,1
"8016 7 Street Southwest, Calgary ",1,2024,October,"$729,900","$737,000",101%,House,"1,458",4,2
"8007 Ranchero Drive Northwest, Calgary ",1,2024,August,"$749,900","$750,000",100%,House,"1,703",4,3
"#401 501 57 Avenue Southwest, Calgary ",1,2024,October,"$265,000","$268,800",101%,High Rise Apartment,820,2,1
"#205 507 57 Avenue Southwest, Calgary ",1,2024,December,"$199,900","$193,500",97%,High Rise Apartment,462,1,1
"#3207 11811 Lake Fraser Drive Southeast, Calgary ",1,2024,September,"$289,400","$275,000",95%,High Rise Apartment,584,1,1
"3104 Lake Fraser Court Southeast, Calgary ",1,2024,December,"$575,000","$570,000",99%,High Rise Apartment,"1,182",2,2
"732 Lake Bonavista Drive Southeast, Calgary ",1,2024,November,"$799,900","$851,000",106%,House,"1,243",5,3
"6914 Livingstone Drive Southwest, Calgary ",1,2024,October,"$4,350,000","$4,325,000",99%,House,"3,795",5,4
"5907 Lockinvar Road Southwest, Calgary ",1,2024,September,"$899,000","$895,000",100%,House,"1,053",4,2
"1277 Legacy Circle Southeast, Calgary ",1,2024,September,"$548,000","$535,000",98%,Not Applicable,"1,294",2,2
"1745 Legacy Circle Southeast, Calgary ",1,2024,October,"$674,900","$670,000",99%,House,"1,656",4,3
"7339 37 Avenue Northwest, Calgary ",1,2024,October,"$849,900","$849,900",100%,House,"2,034",4,3
"1008 70 Avenue Southwest, Calgary ",1,2024,September,"$1,699,990","$1,699,990",100%,House,"2,919",5,4
"201 Superior Avenue Southwest, Calgary ",1,2024,August,"$2,988,000","$2,988,000",100%,House,"3,559",4,4
"338 Superior Avenue Southwest, Calgary ",1,2024,October,"$1,349,900","$1,380,000",102%,House,"2,470",5,3
"1401 19 Avenue Northwest, Calgary ",1,2024,October,"$775,000","$755,000",97%,Not Applicable,"1,429",4,3
"1415 Beverley Place Southwest, Calgary ",1,2024,December,"$5,100,000","$4,875,000",96%,House,"4,365",4,6
"#104 328 21 Avenue Southwest, Calgary ",1,2024,September,"$475,000","$485,000",102%,High Rise Apartment,"1,170",2,2
"7444 Ogden Road Southeast, Calgary ",1,2024,September,"$489,900","$482,500",98%,House,825,4,2
"193 Rockyspring Grove Northwest, Calgary ",1,2024,October,"$499,999","$492,500",99%,Half Duplex,"1,427",3,3
"39 Edgeridge Terrace Northwest, Calgary ",1,2024,August,"$498,000","$498,000",100%,Not Applicable,"1,540",2,2
"#1204 16320 24 Street Southwest, Calgary ",1,2025,January,"$305,000","$299,000",98%,High Rise Apartment,915,2,2
"109 Thomson Avenue Northeast, Calgary ",1,2024,November,"$619,000","$584,000",94%,House,708,2,2
"52 Cranleigh Drive Southeast, Calgary ",1,2024,August,"$759,900","$743,000",98%,House,"2,186",4,2
"44 Midland Place Southeast, Calgary ",1,2024,November,"$779,990","$762,000",98%,House,"1,611",4,3
"31 Schooner Close Northwest, Calgary ",1,2024,October,"$823,800","$815,000",99%,House,"1,995",5,3
"74 Riverstone Close Southeast, Calgary ",1,2025,January,"$649,900","$701,000",108%,House,"1,846",3,2
"#404 535 10 Avenue Southwest, Calgary ",1,2024,September,"$589,000","$570,000",97%,High Rise Apartment,"1,220",1,1
"#503 535 10 Avenue Southwest, Calgary ",1,2024,December,"$599,900","$595,000",99%,High Rise Apartment,"1,357",1,1
"129 Millrise Square Southwest, Calgary ",1,2024,October,"$650,000","$632,000",97%,House,"1,840",4,2
"#915 626 14 Avenue Southwest, Calgary ",1,2024,December,"$389,900","$377,500",97%,High Rise Apartment,707,1,1
"221 13 Avenue Northwest, Calgary ",1,2024,September,"$895,000","$895,000",100%,House,"1,354",2,2
"5404 Thornbriar Road Northwest, Calgary ",1,2025,January,"$687,000","$659,500",96%,House,"1,001",4,2
"#1502 544 Blackthorn Road Northeast, Calgary ",1,2024,September,"$350,000","$347,500",99%,Not Applicable,"1,046",2,1
"1116 Ranchlands Boulevard Northwest, Calgary ",1,2024,September,"$599,900","$625,000",104%,House,"1,254",5,2
"#303 1027 Cameron Avenue Southwest, Calgary ",1,2025,January,"$210,000","$208,000",99%,High Rise Apartment,632,1,1
"13 Prestwick Mount Southeast, Calgary ",1,2024,November,"$599,500","$625,000",104%,House,"1,463",3,3
"#110 2 Westbury Place Southwest, Calgary ",1,2024,November,"$565,900","$560,900",99%,Not Applicable,"1,617",3,2
"81 Royal Elm Road Northwest, Calgary ",1,2024,September,"$609,900","$594,500",97%,House,"1,289",4,2
"114 Prestwick Terrace Southeast, Calgary ",1,2024,October,"$615,000","$618,000",100%,House,"1,936",3,2
"#1216 1111 6 Avenue Southwest, Calgary ",1,2024,October,"$310,000","$300,000",97%,High Rise Apartment,709,2,1
"84 Woodmeadow Close Southwest, Calgary ",1,2024,December,"$639,900","$633,000",99%,Not Applicable,"2,231",2,2
"6589 Pinecliff Grove Northeast, Calgary ",1,2024,October,"$349,900","$339,000",97%,House,939,2,2
"#26 388 Sandarac Drive Northwest, Calgary ",1,2025,January,"$449,900","$442,500",98%,Not Applicable,"1,538",3,2
"#404 515 57 Avenue Southwest, Calgary ",1,2024,November,"$245,000","$233,000",95%,High Rise Apartment,636,1,1
"#407 515 57 Avenue Southwest, Calgary ",1,2024,October,"$264,800","$262,000",99%,High Rise Apartment,834,2,1
"#419 525 56 Avenue Southwest, Calgary ",1,2024,September,"$224,900","$215,000",96%,High Rise Apartment,727,1,1
"#105 1720 13 Street Southwest, Calgary ",1,2024,December,"$299,000","$297,500",99%,High Rise Apartment,"1,041",2,1
"#110 1720 10 Street Southwest, Calgary ",1,2024,September,"$295,000","$287,000",97%,High Rise Apartment,529,1,1
"#212 836 Royal Avenue Southwest, Calgary ",1,2024,October,"$429,900","$433,800",101%,High Rise Apartment,934,2,2
"#420 122 Mahogany Centre Southeast, Calgary ",1,2024,August,"$699,900","$680,000",97%,High Rise Apartment,"1,058",3,2
"8028 Masters Boulevard Southeast, Calgary ",1,2024,November,"$600,000","$595,000",99%,Half Duplex,"1,184",3,3
"10216 Maplecreek Drive Southeast, Calgary ",1,2024,December,"$695,000","$688,000",99%,House,"1,154",3,2
"#808 919 38 Street Northeast, Calgary ",1,2024,October,"$329,900","$319,500",97%,Not Applicable,"1,226",3,1
"#1401 919 38 Street Northeast, Calgary ",1,2025,January,"$299,900","$310,000",103%,Not Applicable,"1,099",3,1
"211 Marlyn Place Northeast, Calgary ",1,2024,December,"$475,000","$460,000",97%,House,815,3,2
"509 40 Street Northeast, Calgary ",1,2024,December,"$329,900","$329,900",100%,Not Applicable,"1,098",3,2
"5219 Maryvale Drive Northeast, Calgary ",1,2024,September,"$539,900","$534,500",99%,House,"1,091",4,2
"#18 195 Manora Place Northeast, Calgary ",1,2024,November,"$359,900","$330,000",92%,Not Applicable,"1,075",3,2
"2235 32 Avenue Southwest, Calgary ",1,2024,December,"$888,000","$877,500",99%,House,"1,637",3,3
"864 Madeira Drive Northeast, Calgary ",1,2025,January,"$379,995","$370,500",98%,Not Applicable,"1,190",3,2
"#116 30 Mchugh Court Northeast, Calgary ",1,2024,August,"$267,950","$270,000",101%,High Rise Apartment,850,2,1
"174 Martinridge Crescent Northeast, Calgary ",1,2024,December,"$529,900","$516,500",97%,House,"1,245",4,2
"#103 1921 27 Street Southwest, Calgary ",1,2024,November,"$624,900","$610,000",98%,Not Applicable,"1,873",3,2
"#1 5315 53 Avenue Northwest, Calgary ",1,2024,October,"$400,000","$403,000",101%,Not Applicable,951,2,1
"#405 417 3 Avenue Northeast, Calgary ",1,2024,September,"$349,000","$345,000",99%,High Rise Apartment,"1,111",2,2
"#303 836 Royal Avenue Southwest, Calgary ",1,2025,January,"$454,900","$445,000",98%,High Rise Apartment,895,2,2
"#2 1924 32 Street Southwest, Calgary ",1,2024,November,"$450,000","$450,000",100%,Not Applicable,"1,218",3,3
"#1 1928 26 Street Southwest, Calgary ",1,2024,September,"$299,999","$290,000",97%,High Rise Apartment,839,2,1
"82 Douglasbank Way Southeast, Calgary ",1,2024,September,"$659,900","$662,000",100%,House,"1,837",3,2
"15 Deermont Road Southeast, Calgary ",1,2024,December,"$675,000","$685,000",101%,House,"2,049",4,4
"144 New Brighton Point Southeast, Calgary ",1,2024,December,"$455,000","$436,750",96%,Not Applicable,"1,269",3,2
"604 Fortalice Crescent Southeast, Calgary ",1,2024,December,"$648,900","$630,000",97%,House,"1,046",5,2
"#303 1939 30 Street Southwest, Calgary ",1,2025,January,"$399,900","$399,900",100%,High Rise Apartment,970,2,2
"124 Haverhill Road Southwest, Calgary ",1,2025,January,"$739,900","$740,000",100%,House,"1,013",4,2
"2025 26 Street Southwest, Calgary ",1,2024,December,"$1,279,000","$1,250,000",98%,House,"2,062",4,3
"5620 37 Street Southwest, Calgary ",1,2024,August,"$899,900","$880,000",98%,House,"1,213",6,2
"#106 7110 80 Avenue Northeast, Calgary ",1,2024,September,"$365,000","$357,000",98%,High Rise Apartment,858,2,2
"11129 Hidden Valley Drive Northwest, Calgary ",1,2024,October,"$649,000","$642,000",99%,House,"1,865",3,3
"114 Hidden Creek Cove Northwest, Calgary ",1,2024,August,"$459,000","$450,000",98%,Not Applicable,"1,319",3,2
"73 Cityscape Gardens Northeast, Calgary ",1,2025,January,"$709,000","$685,000",97%,House,"1,820",4,3
"#149 6915 Ranchview Drive Northwest, Calgary ",1,2024,September,"$409,900","$398,500",97%,Not Applicable,"1,144",4,1
"#409 20 Seton Park Southeast, Calgary ",1,2024,October,"$399,900","$395,000",99%,High Rise Apartment,915,2,2
"4546 7 Avenue Southeast, Calgary ",1,2024,November,"$389,000","$378,000",97%,Not Applicable,"1,243",5,1
"426 Cannington Close Southwest, Calgary ",1,2024,November,"$489,900","$445,000",91%,Not Applicable,"1,354",4,1
"167 Saddlehorn Close Northeast, Calgary ",1,2024,November,"$769,990","$758,500",99%,House,"2,044",6,3
"168 Saddlebrook Circle Northeast, Calgary ",1,2025,January,"$589,900","$586,500",99%,House,"1,375",4,3
"23 Edgedale Road Northwest, Calgary ",1,2024,October,"$589,000","$568,000",96%,House,"1,009",4,2
"9616 Alcott Road Southeast, Calgary ",1,2025,January,"$684,900","$665,000",97%,House,"1,040",4,2
"15 Cranfield Crescent Southeast, Calgary ",1,2024,December,"$699,900","$690,000",99%,House,"1,730",4,3
"180 Elgin Meadows View Southeast, Calgary ",1,2024,September,"$555,000","$550,000",99%,Half Duplex,"1,130",3,3
"9612 Alcott Road Southeast, Calgary ",1,2024,November,"$669,900","$660,000",99%,House,"1,003",3,2
"17 Somervale Park Southwest, Calgary ",1,2024,August,"$350,000","$379,250",108%,Not Applicable,"1,065",2,1
"#309 3 Somervale View Southwest, Calgary ",1,2024,September,"$259,000","$250,000",97%,High Rise Apartment,760,2,1
"#26 740 Bracewood Drive Southwest, Calgary ",1,2024,October,"$369,900","$365,000",99%,Not Applicable,"1,054",2,1
"32 Patina Park Southwest, Calgary ",1,2024,October,"$449,000","$470,000",105%,Not Applicable,"1,340",2,1
"2312 5 Avenue Northwest, Calgary ",1,2024,October,"$1,099,000","$1,050,000",96%,House,"2,202",4,3
"#403 130 25 Avenue Southwest, Calgary ",1,2024,October,"$309,900","$299,000",96%,High Rise Apartment,803,2,1
"#3 2326 2 Avenue Northwest, Calgary ",1,2024,December,"$629,000","$617,500",98%,Not Applicable,"1,264",3,3
"#2 2332 2 Avenue Northwest, Calgary ",1,2024,August,"$685,000","$675,000",99%,Not Applicable,"1,396",3,2
"47 Fairview Drive Southeast, Calgary ",1,2024,December,"$778,000","$765,000",98%,House,"1,015",3,2
"1614 16 Avenue Southwest, Calgary ",1,2024,December,"$749,999","$730,000",97%,Not Applicable,"1,570",3,3
"262 Mckenzie Towne Link Southeast, Calgary ",1,2024,October,"$369,000","$366,000",99%,Not Applicable,"1,024",1,1
"12 Cranleigh Heath Southeast, Calgary ",1,2024,September,"$599,900","$555,000",93%,Not Applicable,"1,945",3,2
"535 Markerville Road Northeast, Calgary ",1,2024,December,"$579,999","$572,500",99%,House,"1,222",4,2
"#225 510 Edmonton Trail Northeast, Calgary ",1,2024,December,"$403,000","$392,000",97%,High Rise Apartment,860,2,2
"#1205 2395 Eversyde Avenue Southwest, Calgary ",1,2024,October,"$224,000","$218,000",97%,High Rise Apartment,569,1,1
"#1201 2395 Eversyde Avenue Southwest, Calgary ",1,2024,September,"$280,000","$293,000",105%,High Rise Apartment,809,2,1
"272 Falton Drive Northeast, Calgary ",1,2024,August,"$524,900","$550,100",105%,House,874,4,2
"2428 7 Avenue Northwest, Calgary ",1,2024,September,"$860,000","$855,000",99%,Half Duplex,"2,109",4,3
"#4423 10 Prestwick Bay Southeast, Calgary ",1,2024,August,"$329,777","$329,777",100%,High Rise Apartment,931,2,2
"919 Auburn Bay Square Southeast, Calgary ",1,2024,September,"$354,900","$354,900",100%,Not Applicable,679,2,1
"148 Dovista Court Southeast, Calgary ",1,2024,August,"$379,900","$379,900",100%,House,943,2,1
"71 Walden Road Southeast, Calgary ",1,2024,October,"$614,900","$607,000",99%,House,"1,724",3,2
"#405 2000 Applevillage Court Southeast, Calgary ",1,2025,January,"$284,900","$276,000",97%,High Rise Apartment,782,2,2
"2423 39 Street Southeast, Calgary ",1,2025,January,"$475,000","$475,000",100%,House,966,4,2
"511 Salem Avenue Southwest, Calgary ",1,2024,December,"$2,299,900","$2,080,000",90%,House,"2,890",5,4
"1050 13 Avenue Southwest, Calgary ",1,2024,September,"$595,000","$612,500",103%,Not Applicable,"1,280",3,2
"106 Bridlecrest Manor Southwest, Calgary ",1,2024,August,"$600,000","$625,000",104%,House,"1,609",3,2
"134 Bridlerange Place Southwest, Calgary ",1,2024,September,"$635,000","$624,000",98%,Half Duplex,"2,362",4,2
"47 Whiteram Close Northeast, Calgary ",1,2024,September,"$519,900","$547,000",105%,House,"1,178",5,2
"6431 33 Avenue Northwest, Calgary ",1,2024,November,"$525,000","$525,000",100%,House,"1,144",3,2
"63 Cramond Green Southeast, Calgary ",1,2024,November,"$530,000","$519,500",98%,Half Duplex,"1,253",3,2
"39 Hawksbrow Road Northwest, Calgary ",1,2025,January,"$655,000","$640,000",98%,House,"2,268",5,3
"8 Hawkhill Way Northwest, Calgary ",1,2024,August,"$679,800","$700,000",103%,House,"2,168",4,3
"271 Autumn Circle Southeast, Calgary ",1,2024,August,"$719,900","$717,000",100%,House,"1,744",4,3
"7356 Silver Mead Road Northwest, Calgary ",1,2024,September,"$854,900","$840,000",98%,House,"1,223",3,2
"318 Alpine Avenue Southwest, Calgary ",1,2024,September,"$584,900","$575,000",98%,Not Applicable,"1,723",3,3
"3819 Parkhill Street Southwest, Calgary ",1,2024,September,"$589,000","$635,000",108%,House,"1,460",3,1
"199 Everhollow Street Southwest, Calgary ",1,2024,August,"$749,900","$745,000",99%,House,"2,170",5,3
"250 Coral Keys Court Northeast, Calgary ",1,2024,December,"$639,990","$605,000",95%,House,"1,796",3,2
"#1117 2395 Eversyde Avenue Southwest, Calgary ",1,2024,October,"$224,900","$224,900",100%,High Rise Apartment,572,1,1
"27 Lake Bonaventure Place Southeast, Calgary ",1,2024,October,"$1,690,000","$1,645,000",97%,House,"1,977",5,3
"#2303 2518 Fish Creek Boulevard Southwest, Calgary ",1,2024,September,"$349,900","$344,000",98%,High Rise Apartment,915,2,2
"532 Everbrook Way Southwest, Calgary ",1,2024,December,"$749,900","$735,000",98%,House,"2,032",4,3
"204 Sierra Madre Court Southwest, Calgary ",1,2024,September,"$849,888","$850,000",100%,House,"1,922",4,3
"#313 93 34 Avenue Southwest, Calgary ",1,2024,September,"$329,900","$337,500",102%,High Rise Apartment,701,1,1
"#507 1330 15 Avenue Southwest, Calgary ",1,2024,October,"$299,900","$290,000",97%,High Rise Apartment,864,2,1
"113 Copperfield Mews Southeast, Calgary ",1,2024,November,"$549,900","$552,500",100%,House,"1,058",4,3
"752 Fortalice Crescent Southeast, Calgary ",1,2025,January,"$579,000","$590,000",102%,House,"1,058",5,2
"10 Silverado Plains Manor Southwest, Calgary ",1,2025,January,"$589,900","$576,000",98%,House,"1,310",4,2
"106 Chapalina Square Southeast, Calgary ",1,2024,October,"$469,000","$460,000",98%,Not Applicable,"1,329",2,2
"35 Saddleland Drive Northeast, Calgary ",1,2024,September,"$699,000","$680,000",97%,House,"1,766",4,3
"#1504 11010 Bonaventure Drive Southeast, Calgary ",1,2024,December,"$369,900","$358,000",97%,Not Applicable,735,3,2
"#602 8000 Wentworth Drive Southwest, Calgary ",1,2024,December,"$484,900","$485,900",100%,House,"1,380",2,2
"#216 8505 Broadcast Avenue Southwest, Calgary ",1,2024,September,"$325,000","$315,000",97%,High Rise Apartment,472,1,1
"88 Wentworth Square Southwest, Calgary ",1,2024,September,"$1,100,000","$1,065,000",97%,Half Duplex,"2,354",3,3
"#402 534 20 Avenue Southwest, Calgary ",1,2024,August,"$219,900","$218,500",99%,High Rise Apartment,699,1,1
"2325 19 Street Southwest, Calgary ",1,2024,December,"$889,000","$870,000",98%,Half Duplex,"1,847",3,3
"417 Citadel Hills Circle Northwest, Calgary ",1,2025,January,"$599,900","$595,000",99%,House,"1,221",4,3
"#2112 2280 68 Street Northeast, Calgary ",1,2024,December,"$286,000","$273,500",96%,High Rise Apartment,856,2,2
"68 New Brighton Landing Southeast, Calgary ",1,2024,September,"$569,000","$586,000",103%,Half Duplex,"1,356",4,3
"16 New Brighton Court Southeast, Calgary ",1,2025,January,"$589,900","$610,000",103%,House,"1,330",2,2
"216 Cougar Ridge Drive Southwest, Calgary ",1,2025,January,"$715,000","$721,500",101%,House,"1,662",3,4
"#5311 14645 6 Street Southwest, Calgary ",1,2024,October,"$419,900","$417,000",99%,High Rise Apartment,951,2,1
"11 Bridlecrest Place Southwest, Calgary ",1,2024,November,"$589,900","$582,500",99%,House,"1,535",4,4
"428 Nolan Hill Boulevard Northwest, Calgary ",1,2024,October,"$459,900","$455,000",99%,Not Applicable,"1,408",2,2
"41 Erin Ridge Road Southeast, Calgary ",1,2024,October,"$484,900","$486,000",100%,House,894,4,2
"#108 431 1 Avenue Northeast, Calgary ",1,2024,August,"$229,900","$230,000",100%,High Rise Apartment,700,2,1
"#116 510 Edmonton Trail Northeast, Calgary ",1,2024,September,"$419,900","$408,500",97%,High Rise Apartment,805,2,2
"46 Bridleridge Green Southwest, Calgary ",1,2024,November,"$654,900","$640,000",98%,House,"1,843",3,2
"#103 923 15 Avenue Southwest, Calgary ",1,2024,August,"$389,900","$385,000",99%,High Rise Apartment,"1,349",2,2
"#607 718 12 Avenue Southwest, Calgary ",1,2024,October,"$249,900","$242,500",97%,High Rise Apartment,830,2,1
"45 Everhollow Park Southwest, Calgary ",1,2025,January,"$670,000","$651,000",97%,House,"1,862",4,3
"#1210 135 13 Avenue Southwest, Calgary ",1,2024,October,"$339,900","$339,900",100%,High Rise Apartment,685,1,1
"#75 39 Strathlea Common Southwest, Calgary ",1,2024,October,"$599,999","$629,350",105%,Half Duplex,"2,015",3,3
"180 Cityside Park Northeast, Calgary ",1,2024,October,"$779,900","$765,000",98%,House,"2,362",3,2
"#403 1059 5 Avenue Northwest, Calgary ",1,2024,October,"$349,900","$380,250",109%,High Rise Apartment,"1,004",2,1
"105 Patina Park Southwest, Calgary ",1,2024,November,"$449,900","$468,000",104%,Not Applicable,"1,204",3,2
